iter	Passed	Remaining
916	52411	4743
917	52468	4686
918	52518	4628
919	52572	4571
920	52632	4514
921	52692	4457
922	52744	4400
923	52815	4344
924	52885	4288
925	52944	4230
926	53000	4173
927	53055	4116
928	53116	4059
929	53173	4002
930	53221	3944
931	53269	3886
932	53320	3829
933	53381	3772
934	53430	3714
935	53479	3656
936	53528	3599
937	53593	3542
938	53658	3485
939	53714	3428
940	53780	3372
941	53835	3314
942	53889	3257
943	53955	3200
944	54006	3143
945	54058	3085
946	54117	3028
947	54173	2971
948	54220	2913
949	54272	2856
950	54322	2798
951	54385	2742
952	54433	2684
953	54484	2627
954	54536	2569
955	54605	2513
956	54663	2456
957	54714	2398
958	54782	2342
959	54837	2284
960	54892	2227
961	54952	2170
962	55011	2113
963	55067	2056
964	55116	1999
965	55166	1941
966	55213	1884
967	55275	1827
968	55324	1769
969	55375	1712
970	55422	1655
971	55468	1597
972	55534	1541
973	55590	1483
974	55645	1426
975	55701	1369
976	55760	1312
977	55818	1255
978	55888	1198
979	55946	1141
980	56001	1084
981	56050	1027
982	56103	970
983	56165	913
984	56215	856
985	56268	798
986	56316	741
987	56377	684
988	56424	627
989	56469	570
990	56529	513
991	56592	456
992	56644	399
993	56702	342
994	56787	285
995	56847	228
996	56900	171
997	56958	114
998	57014	57
999	57071	0
